lecture_no,question,option1,option2,option3,option4,correct_option
1,Why is debugging important?,Remove program errors,Increase storage,Install JVM,Reduce typing,1
1,Which error type is hardest to find?,Logic error,Syntax error,Compile error,File error,1
1,What is documentation in programming?,Explaining program details,Deleting comments,Compiling code,Encrypting files,1
1,Which statement best describes Java?,Object-oriented and platform independent,Machine dependent only,Assembly language,Database software,1
1,What is the purpose of classes in Java?,Blueprint for objects,Store RAM,Compile programs,Replace JVM,1
1,What is an object in Java?,Instance of a class,Compiler output,Operating system,Database table,1
1,Which of these is an advantage of Java?,Portability,No compilation,Hardware dependency,No JVM needed,1
1,Which Java feature allows running same code on multiple OS?,Bytecode and JVM,Hardcoding,Assembly conversion,BIOS support,1
1,Which organization standardized Java development after Sun?,Oracle,Google,Intel,Microsoft,1
1,What is the output device among these?,Projector,Keyboard,Mouse,Scanner,1
1,Which component translates Java bytecode to machine instructions?,JVM,IDE,JDK,Editor,1
1,What does WORA stand for?,Write Once Run Anywhere,Write Often Run Always,Work On Runtime Access,Write Output Read Again,1
1,Which phase comes after coding in software development?,Testing,Problem analysis,Hardware setup,Networking,1
2,Which keyword declares an integer variable in Java?,int,double,float,String,1
2,Which data type stores decimal numbers with high precision?,double,int,char,boolean,1
2,Which data type stores a single character?,char,String,double,int,1
2,Which data type stores true or false values?,boolean,int,char,float,1
2,Which keyword creates an object in Java?,new,class,create,object,1
2,Which class is commonly used for user input?,Scanner,Input,Console,Reader,1
2,Which package contains Scanner class?,java.util,java.lang,java.io,java.net,1
2,Which statement creates Scanner object?,Scanner input = new Scanner(System.in);,Scanner input;,new Scanner();,Scanner(System.in);,1
2,Which method reads integer input using Scanner?,nextInt(),readInt(),getInt(),inputInt(),1
2,Which method reads double input?,nextDouble(),getDouble(),inputDouble(),readDouble(),1
2,Which method reads a full line of text?,nextLine(),nextText(),nextString(),readLine(),1
2,Which operator is used for assignment?,=,==,+,-,1
2,Which operator checks equality?,==,=,!=,++,1
2,What is result of 10 / 3 in integer division?,3,3.33,4,0,1
2,What operator gives remainder?,%,/,*,+,1
2,Which operator means NOT equal?,!=,==,<=,++,1
2,Which operator increases value by one?,++,--,+=,*=,1
2,Which operator decreases value by one?,--,++,/=,==,1
2,Which operator performs multiplication?,*,+,-,%,1
2,Which operator performs division?,/,+,*,%,1
2,What is type casting?,Converting one type to another,Deleting variables,Creating objects,Compiling code,1
2,Which is explicit casting?,(int)5.8,int x=5,double y=7,new int(),1
2,Which conversion happens automatically?,Widening conversion,Narrowing conversion,Explicit casting,Forced casting,1
2,Which data type is larger?,double,int,char,byte,1
2,Which class contains common math functions?,Math,Scanner,System,Random,1
2,Which method returns absolute value?,Math.abs(),Math.absolute(),Math.mod(),Math.absoluteValue(),1
2,Which method calculates square root?,Math.sqrt(),Math.square(),Math.root(),Math.pow(),1
2,Which method raises power values?,Math.pow(),Math.exp(),Math.raise(),Math.power(),1
2,Which method generates random numbers?,Math.random(),Math.rand(),Math.next(),Math.generate(),1
2,What range does Math.random() generate?,0.0 to less than 1.0,1 to 100,-1 to 1,0 to 10,1
2,Which statement outputs text in Java?,System.out.println(),print.text(),Console.write(),output.print(),1
2,Which statement prints without moving to new line?,System.out.print(),System.out.println(),print.line(),System.write(),1
2,Which symbol is used for addition?,+,-,*,/,1
2,Which symbol is used for subtraction?,-,+,/,%,1
2,What is the precedence of multiplication compared to addition?,Higher,Lower,Equal,None,1
2,What will 5 + 2 * 3 evaluate to?,11,21,15,13,1
2,Parentheses in expressions are used to?,Control precedence,Store variables,Create loops,End statements,1
2,Which operator combines assignment and addition?,+=,-=,*=,/=,1
2,Which operator combines assignment and multiplication?,*=,+=,-=,%=,1
2,Which operator combines assignment and division?,/=,+=,*=,==,1
2,What does x += 5 mean?,x = x + 5,x = 5,x = x - 5,x = x * 5,1
2,What does x *= 2 mean?,x = x * 2,x = x + 2,x = x / 2,x = x - 2,1
2,Which data type consumes less memory?,byte,double,String,long,1
2,Which primitive type stores very large integers?,long,byte,char,float,1
2,Which primitive type uses 64 bits for decimal values?,double,float,int,short,1
2,What is a variable?,Named storage location,Compiler tool,Loop structure,Math function,1
2,Which keyword makes a constant variable?,final,const,static,fixed,1
2,What happens if final variable value is changed?,Compilation error,Runtime error,Nothing,Program exits,1
2,Which naming style is recommended for variables?,camelCase,UPPER_CASE,PascalCase,ALLSMALL,1
2,Which of these is a valid variable name?,studentAge,2value,class,float-value,1
2,Which keyword is used to declare floating point values with less precision?,float,double,int,long,1
2,Which suffix is required for float literals?,f,d,l,c,1
2,Which statement correctly declares a double variable?,double x = 5.5;,double x := 5.5;,double = 5.5;,x double 5.5;,1
2,What is the value of 7 % 3 ?,1,2,0,3,1
2,Which operator performs modulus operation?,%,/,*,+,1
2,What is output type of int plus double?,double,int,float,long,1
2,Which conversion may lose data?,Narrowing conversion,Widening conversion,Automatic conversion,Implicit conversion,1
2,What does System.out.println() automatically add after output?,New line,Space,Tab,Comma,1
2,Which escape sequence creates a new line?,\n,\t,\b,\\,1
2,Which escape sequence inserts a tab space?,\t,\n,\r,\",1
2,Which escape sequence prints double quotes?,\",\\,\',\n,1
2,Which class variable stores command line arguments in main method?,args,input,argv,param,1
2,Which keyword defines a method that belongs to class not object?,static,void,new,final,1
2,What is the return type of main() method?,void,int,double,String,1
2,What does public mean in main method?,Accessible everywhere,Stores integers,Creates object,Runs loops,1
2,What happens if variable is used without initialization?,Compilation error,Automatic zero,Runtime error,Ignored,1
2,Which statement is correct for multiple variable declaration?,int a=1,b=2;,int a=1 and b=2;,a=1,b=2 int;,declare int a,b;,1
2,Which operator has higher precedence?,Parentheses,Addition,Assignment,Comparison,1
2,What is output of (8+2)*3 ?,30,14,24,18,1
2,Which operator performs integer division when both operands are integers?,/,%,*,+,1
2,What is the result of 9/2 using integers?,4,4.5,5,3,1
2,What is the result of 9.0/2 ?,4.5,4,5,2,1
2,What is concatenation in Java?,Joining strings,Multiplying values,Declaring variables,Creating arrays,1
2,Which operator concatenates strings?,+,*,&,%,1
2,What is output of "Java" + 5 ?,Java5,Error,5Java,Java,1
2,Which class contains predefined constants like PI?,Math,System,Scanner,Random,1
2,Which constant stores value of π ?,Math.PI,Math.pi,PI.Math,System.PI,1
2,Which method rounds decimal values to nearest integer?,Math.round(),Math.floor(),Math.ceil(),Math.random(),1
2,Which method always rounds downward?,Math.floor(),Math.ceil(),Math.round(),Math.abs(),1
2,Which method always rounds upward?,Math.ceil(),Math.floor(),Math.random(),Math.round(),1
2,Which method returns maximum value?,Math.max(),Math.high(),Math.greater(),Math.large(),1
2,Which method returns minimum value?,Math.min(),Math.low(),Math.small(),Math.lesser(),1
2,What is output of Math.max(4,9)?,9,4,13,5,1
2,What is output of Math.min(7,3)?,3,7,10,4,1
2,Which class is used for generating random numbers more flexibly?,Random,Math,Scanner,System,1
2,Which package contains Random class?,java.util,java.lang,java.io,java.net,1
2,Which statement creates Random object?,Random r = new Random();,Random();,new Random;,Random r();,1
2,What is the purpose of comments?,Improve readability,Increase speed,Reduce memory,Compile code,1
2,Which symbol starts multi-line comments?,/*,//,**,#,1
2,Which symbol ends multi-line comments?,*/,//,**,;,1
2,Which keyword prevents value modification?,final,static,public,new,1
2,What is output of 2 + 3 + "Java" ?,5Java,Java5,23Java,Error,1
2,What is output of "Java" + 2 + 3 ?,Java23,5Java,Java5,Error,1
2,What is input mismatch exception commonly caused by?,Wrong input type,Wrong variable name,Compilation issue,Network issue,1
2,Which method reads a single word string?,next(),nextLine(),read(),get(),1
2,Which method closes Scanner object?,close(),stop(),end(),terminate(),1
2,Why should Scanner be closed?,Release resources,Increase speed,Compile code,Store variables,1
2,Which keyword creates object memory dynamically?,new,create,class,define,1
2,What is output of (double)5/2 ?,2.5,2,3,5,1
2,What is elementary programming mainly about?,Basic coding concepts,AI development,Networking,Database design,1
3,Which statement is used for decision making in Java?,if,loop,array,class,1
3,Which keyword provides alternative execution path?,else,case,break,continue,1
3,Which operator checks equality?,==,=,!=,++,1
3,Which operator means not equal?,!=,==,<=,>=,1
3,Which operator means greater than?,>,<,==,!=,1
3,Which operator means less than?,<,>,>=,==,1
3,Which operator means greater than or equal to?,>=,>,<,<=,1
3,Which operator means less than or equal to?,<=,<,>,>=,1
3,What data type is produced by relational operators?,boolean,int,char,double,1
3,Which logical operator means AND?,&&,||,!,&,1
3,Which logical operator means OR?,||,&&,^,%,1
3,Which logical operator means NOT,!,&&,||,++,1
3,What is output of true && false?,false,true,0,1,1
3,What is output of true || false?,true,false,0,1,1
3,What is output of !true?,false,true,1,0,1
3,Which statement executes only when condition is true?,if,while,for,class,1
3,Which structure allows multiple alternatives?,if-else-if,array,method,class,1
3,Which keyword is used in switch block?,case,catch,defaultClass,return,1
3,Which keyword exits switch statement?,break,stop,exit,return,1
3,Which keyword executes when no case matches?,default,else,none,final,1
3,What happens without break in switch?,Fall through occurs,Program crashes,Compilation error,Nothing,1
3,Which data type commonly works with switch?,int,double,array,float,1
3,What is nesting in selections?,Selection inside selection,Loop inside array,Class inside object,Method inside package,1
3,Which operator is called ternary operator,?:,::,??,%%,1
3,Ternary operator requires how many operands?,3,2,1,4,1
3,What is output of 5 > 3 ?,true,false,5,3,1
3,What is output of 4 == 4 ?,true,false,0,1,1
3,What is output of 6 != 2 ?,true,false,6,2,1
3,Which operator has higher precedence among logical operators?,!,&&,||,None,1
3,What is result of false || false ?,false,true,0,1,1
3,What is result of true && true ?,true,false,0,1,1
3,What is output of !(5>3) ?,false,true,Error,0,1
3,Which statement is best for multiple exact matches?,switch,if,array,loop,1
3,How many default blocks are allowed in switch?,1,2,Unlimited,0,1
3,Can switch work without default?,Yes,No,Only for int,Never,1
3,Which selection structure checks conditions sequentially?,if-else-if,switch,array,constructor,1
3,What is the purpose of break in switch?,Stop execution,Start loop,Create object,Exit program,1
3,What happens when condition in if is false and no else exists?,Nothing executes,Compilation error,Loop starts,Program stops,1
3,Which symbol encloses conditions in if statement?,(),{},[],<>,1
3,Which braces contain block statements?,{},(),[],<>,1
3,What is output if x=5 and condition x>10 ?,false,true,5,10,1
3,Which operator combines multiple conditions?,Logical operators,Arithmetic operators,Assignment operators,Increment operators,1
3,Which logical expression means both conditions must be true?,&&,||,!,%,1
3,Which logical expression means at least one condition true?,||,&&,!,+,1
3,Which condition checks if age lies between 18 and 30?,age>=18 && age<=30,age=18,age||30,age++30,1
3,What is a boolean expression?,Expression producing true/false,Integer equation,Loop variable,String operation,1
3,Which is a valid if statement syntax?,if(x>0),if x>0,if[x>0],if{x>0},1
3,What is output of true || true ?,true,false,Error,0,1
3,What is output of false && true ?,false,true,Error,1,1
3,Why are selections used?,Make decisions,Create arrays,Store objects,Compile faster,1
3,What is output of 5 > 3 ?,true,false,5,3,1
3,What is output of 4 == 4 ?,true,false,0,1,1
3,What is output of 6 != 2 ?,true,false,6,2,1
3,Which operator has higher precedence among logical operators?,!,&&,||,None,1
3,What is result of false || false ?,false,true,0,1,1
3,What is result of true && true ?,true,false,0,1,1
3,What is output of !(5>3) ?,false,true,Error,0,1
3,Which statement is best for multiple exact matches?,switch,if,array,loop,1
3,How many default blocks are allowed in switch?,1,2,Unlimited,0,1
3,Can switch work without default?,Yes,No,Only for int,Never,1
3,Which selection structure checks conditions sequentially?,if-else-if,switch,array,constructor,1
3,What is the purpose of break in switch?,Stop execution,Start loop,Create object,Exit program,1
3,What happens when condition in if is false and no else exists?,Nothing executes,Compilation error,Loop starts,Program stops,1
3,Which symbol encloses conditions in if statement?,(),{},[],<>,1
3,Which braces contain block statements?,{},(),[],<>,1
3,What is output if x=5 and condition x>10 ?,false,true,5,10,1
3,Which operator combines multiple conditions?,Logical operators,Arithmetic operators,Assignment operators,Increment operators,1
3,Which logical expression means both conditions must be true?,&&,||,!,%,1
3,Which logical expression means at least one condition true?,||,&&,!,+,1
3,Which condition checks if age lies between 18 and 30?,age>=18 && age<=30,age=18,age||30,age++30,1
3,What is a boolean expression?,Expression producing true/false,Integer equation,Loop variable,String operation,1
3,Which is a valid if statement syntax?,if(x>0),if x>0,if[x>0],if{x>0},1
3,What is output of true || true ?,true,false,Error,0,1
3,What is output of false && true ?,false,true,Error,1,1
3,Why are selections used?,Make decisions,Create arrays,Store objects,Compile faster,1
3,Which keyword begins a switch statement block?,switch,case,break,default,1
3,Which value type is returned by comparison operators?,boolean,int,double,String,1
3,What is output of (10>2)&&(8>1) ?,true,false,10,8,1
3,What is output of (10<2)||(8>1) ?,true,false,0,1,1
3,Which operator is used to reverse boolean value?,!,&&,||,==,1
3,What happens if break is omitted in switch cases?,Execution continues to next case,Compilation fails,Program stops,Loop starts,1
3,Can nested if statements have multiple levels?,Yes,No,Only two levels,Only one level,1
3,Which statement is more efficient for checking many fixed choices?,switch,if,array,while,1
3,What is output of !(3<5) ?,false,true,3,5,1
3,Which condition checks whether number is outside range 1–10?,num<1 || num>10,num>=1 && num<=10,num==1,num!=10,1
3,What is output of false || true && true ?,true,false,Error,0,1
3,Which operator executes first in false || true && true ?,&&,||,!,==,1
3,What is output of (4>2)&&(7<3) ?,false,true,4,7,1
3,Which keyword is used to define alternative conditions after if?,else if,switch,default,break,1
3,Can switch statements contain nested switch blocks?,Yes,No,Only one switch allowed,Only with loops,1
3,What is output of 5==5 ? true : false ?,true,false,5,Error,1
3,Which operator separates outcomes in ternary operator?,: ,;,.,?,1
3,Which part of ternary operator comes first?,Condition,False result,True result,Colon,1
3,What is output of true && true || false ?,true,false,Error,0,1
3,Which selection structure is usually simpler for range checking?,if-else,switch,array,method,1
3,What happens when if condition evaluates to true?,Its block executes,Program stops,Else runs,Loop starts,1
3,Which keyword immediately exits switch block?,break,continue,stop,exit,1
3,What is output of !(false && true) ?,true,false,0,1,1
3,What does logical AND require?,Both conditions true,One condition true,Both false,Equal values,1
3,What does logical OR require?,At least one true,Both true,Both false,Equal values,1
4,Which class provides mathematical functions in Java?,Math,Scanner,String,System,1
4,Which method returns square root?,Math.sqrt(),Math.square(),Math.root(),Math.pow(),1
4,Which method calculates power?,Math.pow(),Math.power(),Math.exp(),Math.raise(),1
4,Which method returns absolute value?,Math.abs(),Math.absolute(),Math.mod(),Math.max(),1
4,Which method rounds to nearest integer?,Math.round(),Math.ceil(),Math.floor(),Math.random(),1
4,Which method always rounds upward?,Math.ceil(),Math.floor(),Math.round(),Math.sqrt(),1
4,Which method always rounds downward?,Math.floor(),Math.ceil(),Math.random(),Math.abs(),1
4,Which method returns maximum value?,Math.max(),Math.high(),Math.greater(),Math.big(),1
4,Which method returns minimum value?,Math.min(),Math.low(),Math.small(),Math.less(),1
4,What range does Math.random() generate?,0.0 to less than 1.0,1 to 100,-1 to 1,0 to 10,1
4,Which data type stores a single character?,char,String,int,double,1
4,Characters in Java are enclosed in?,Single quotes,Double quotes,Brackets,Curly braces,1
4,Strings in Java are enclosed in?,Double quotes,Single quotes,Brackets,Angle brackets,1
4,What is ASCII?,Character encoding standard,Math function,Compiler type,Loop method,1
4,What Unicode allows?,Represent many languages,Increase RAM,Compile faster,Reduce memory,1
4,Which method converts character to uppercase?,Character.toUpperCase(),Character.upper(),charUpper(),toCaps(),1
4,Which method converts character to lowercase?,Character.toLowerCase(),Character.lower(),charLower(),toSmall(),1
4,Which method checks if character is digit?,Character.isDigit(),Character.checkDigit(),isNum(),digitCheck(),1
4,Which method checks if character is letter?,Character.isLetter(),Character.checkLetter(),isAlpha(),letterCheck(),1
4,Which method checks if character is whitespace?,Character.isWhitespace(),Character.space(),checkSpace(),isBlank(),1
4,Which keyword creates a String object automatically?,new,None required,class,create,2
4,String objects are?,Immutable,Mutable,Temporary,Numeric,1
4,Which method returns string length?,length(),size(),count(),getLength(),1
4,What is indexing of strings starting from?,0,1,-1,Depends on compiler,1
4,Which method gets character at index?,charAt(),character(),getChar(),charIndex(),1
4,Which method joins two strings?,concat(),joinString(),appendText(),combine(),1
4,Which operator also concatenates strings?,+,*,&,%,1
4,Which method compares strings ignoring case?,equalsIgnoreCase(),compareCase(),sameText(),equalsCase(),1
4,Which method compares exact strings?,equals(),same(),compare(),match(),1
4,Which method extracts substring?,substring(),subStringPart(),extract(),cut(),1
4,substring(2) starts from?,Index 2,Index 1,Beginning,End,1
4,Which method converts string to uppercase?,toUpperCase(),upper(),caps(),makeUpper(),1
4,Which method converts string to lowercase?,toLowerCase(),lower(),small(),makeLower(),1
4,Which method removes extra spaces at ends?,trim(),removeSpaces(),stripAll(),clean(),1
4,Which method checks if string contains text?,contains(),hasText(),find(),search(),1
4,Which method replaces characters/text?,replace(),change(),swap(),edit(),1
4,What does compareTo() return?,Comparison integer,String,Boolean,Character,1
4,Which method converts integer to string?,String.valueOf(),toText(),convert(),parseString(),1
4,Which method converts string to integer?,Integer.parseInt(),String.toInt(),convertInt(),parse(),1
4,What happens if charAt index is invalid?,Exception,Returns null,Returns space,Returns 0,1
4,Which escape sequence creates new line?,\n,\t,\b,\\,1
4,Which escape sequence inserts tab?,\t,\n,\r,\',1
4,Which escape sequence prints quote mark?,\",\\,\',\n,1
4,Which class contains character helper methods?,Character,String,Math,System,1
4,What is output type of charAt()?,char,String,int,double,1
4,Can strings be compared using == ?,Yes but compares references,Always compares content,Never allowed,Returns error,1
4,Which method should compare string contents?,equals(),==,compareContent(),same(),1
4,What is result of "Java".length() ?,4,5,3,0,1
4,What is first index of string "Java"?,0,1,2,4,1
4,Which method finds position of character/text?,indexOf(),find(),search(),position(),1
4,What does lastIndexOf() return?,Last occurrence index,First occurrence index,String length,Boolean result,1
4,Which method checks whether string starts with text?,startsWith(),begins(),firstText(),hasStart(),1
4,Which method checks whether string ends with text?,endsWith(),finishWith(),hasEnd(),stopWith(),1
4,What is output of "Java".toUpperCase() ?,JAVA,java,Java,Error,1
4,What is output of "JAVA".toLowerCase() ?,java,JAVA,Java,Error,1
4,What is output of " hello ".trim() ?,"hello"," hello ","hello "," error",1
4,Which method returns Unicode value of character?,(int)char,unicode(),charCode(),getUnicode(),1
4,What is Unicode mainly used for?,Supporting multiple languages,Increasing speed,Reducing RAM,Compiling code,1
4,Which class is immutable in Java?,String,StringBuilder,Scanner,Character,1
4,Which class is mutable for strings?,StringBuilder,String,Character,Scanner,1
4,What does Character.isUpperCase() check?,Uppercase letter,Lowercase letter,Digit,Whitespace,1
4,What does Character.isLowerCase() check?,Lowercase letter,Uppercase letter,Digit,Symbol,1
4,What does Character.isLetterOrDigit() check?,Letter or digit,Only digit,Only letter,Whitespace,1
4,What is output of "Java".charAt(1) ?,a,J,v,a,1
4,What is output of "Hello".substring(1,4) ?,ell,ello,Hel,elloo,1
4,substring(begin,end) includes end index?,No,Yes,Sometimes,Only for strings,1
4,What happens if substring indexes are invalid?,Exception,Returns empty string,Returns null,Ignored,1
4,Which method converts object/data to string representation?,toString(),stringify(),convert(),value(),1
4,Which class provides formatted output?,System.out.printf(),Scanner,Character,Math,1
4,Which symbol is used as format specifier for integers in printf?,%d,%f,%c,%s,1
4,Which symbol is used for decimal formatting?,%f,%d,%s,%c,1
4,Which symbol is used for strings in printf?,%s,%d,%f,%c,1
4,Which symbol is used for characters in printf?,%c,%d,%s,%f,1
4,What does %n do in printf?,New line,Tab,Space,Nothing,1
4,Which class wraps primitive char functionality?,Character,String,Scanner,Math,1
4,What is output of Character.toUpperCase('a') ?,A,a,65,Error,1
4,What is output of Character.toLowerCase('B') ?,b,B,98,Error,1
4,What is output of Character.isDigit('5') ?,true,false,5,Error,1
4,What is output of Character.isLetter('7') ?,false,true,7,Error,1
4,What does escape sequence \\ print?,Backslash,Slash,Tab,Quote,1
4,What does escape sequence \b represent?,Backspace,Blank space,Backslash,Bold text,1
4,Which method checks exact string equality?,equals(),==,compareTo(),contains(),1
4,What does compareTo() return when strings are equal?,0,1,-1,true,1
4,What does compareTo() return when first string is greater?,Positive number,Negative number,Zero,Boolean,1
4,What does compareTo() return when first string is smaller?,Negative number,Positive number,Zero,Error,1
4,What is output of "abc".equals("ABC") ?,false,true,abc,Error,1
4,What is output of "abc".equalsIgnoreCase("ABC") ?,true,false,abc,Error,1
4,Which method searches text inside a string?,contains(),search(),scan(),findText(),1
4,What does String.valueOf(123) return?,String representation,Integer,StringBuilder,Character,1
4,Which method converts double string to double value?,Double.parseDouble(),parseFloat(),toDouble(),convertDouble(),1
4,Which class provides methods for numeric conversions?,Wrapper classes,Scanner,Math,System,1
4,What is output of "Java"+"Programming" ?,JavaProgramming,Java Programming,ProgrammingJava,Error,1
4,What does immutable mean?,Cannot be changed after creation,Changes automatically,Deletes itself,Stores numbers only,1
4,Which operation creates new string instead of modifying existing one?,concat(),replace(),toUpperCase(),All of these,1
4,What is output of "abcd".indexOf('c') ?,2,3,1,0,1
4,What is output of "abcd".lastIndexOf('d') ?,3,2,4,1,1
4,Which string method returns empty string length?,0,1,-1,Null,1
4,What is output of "JAVA".contains("AV") ?,true,false,Error,0,1
4,What is the main purpose of Chapter 4 topics?,Manipulating numbers, characters, and strings,Creating databases,Networking,File handling,1
4,Which data type is internally used for Unicode characters?,char,String,int,byte,1
5,Which loop checks condition before execution?,while,do-while,switch,if,1
5,Which loop executes body at least once?,do-while,while,for,foreach,1
